bairro,tipo,quantidade,fonte
RECIFE,Estupro,104,Secretaria de Segurança Pública - PE
JABOATAO DOS GUARARAPES,Estupro,46,Secretaria de Segurança Pública - PE
CARUARU,Estupro,31,Secretaria de Segurança Pública - PE
PETROLINA,Estupro,27,Secretaria de Segurança Pública - PE
OLINDA,Estupro,25,Secretaria de Segurança Pública - PE
PAULISTA,Estupro,21,Secretaria de Segurança Pública - PE
IPOJUCA,Estupro,15,Secretaria de Segurança Pública - PE
GARANHUNS,Estupro,14,Secretaria de Segurança Pública - PE
ARARIPINA,Estupro,11,Secretaria de Segurança Pública - PE
CABO DE SANTO AGOSTINHO,Estupro,11,Secretaria de Segurança Pública - PE
BONITO,Estupro,10,Secretaria de Segurança Pública - PE
SALGUEIRO,Estupro,9,Secretaria de Segurança Pública - PE
SANTA CRUZ DO CAPIBARIBE,Estupro,9,Secretaria de Segurança Pública - PE
BREJO DA MADRE DE DEUS,Estupro,8,Secretaria de Segurança Pública - PE
SAO LOURENCO DA MATA,Estupro,8,Secretaria de Segurança Pública - PE
SERRA TALHADA,Estupro,8,Secretaria de Segurança Pública - PE
CABROBO,Estupro,7,Secretaria de Segurança Pública - PE
GOIANA,Estupro,7,Secretaria de Segurança Pública - PE
VITORIA DE SANTO ANTAO,Estupro,7,Secretaria de Segurança Pública - PE
ABREU E LIMA,Estupro,6,Secretaria de Segurança Pública - PE
AFOGADOS DA INGAZEIRA,Estupro,6,Secretaria de Segurança Pública - PE
BELEM DE SAO FRANCISCO,Estupro,6,Secretaria de Segurança Pública - PE
BELO JARDIM,Estupro,6,Secretaria de Segurança Pública - PE
PESQUEIRA,Estupro,6,Secretaria de Segurança Pública - PE
SURUBIM,Estupro,6,Secretaria de Segurança Pública - PE
CAMARAGIBE,Estupro,5,Secretaria de Segurança Pública - PE
CANHOTINHO,Estupro,5,Secretaria de Segurança Pública - PE
CARPINA,Estupro,5,Secretaria de Segurança Pública - PE
GRAVATA,Estupro,5,Secretaria de Segurança Pública - PE
IBIMIRIM,Estupro,5,Secretaria de Segurança Pública - PE
ITAMBE,Estupro,5,Secretaria de Segurança Pública - PE
CATENIDE,Estupro,4,Secretaria de Segurança Pública - PE
FLORESTA,Estupro,4,Secretaria de Segurança Pública - PE
IGARASSU,Estupro,4,Secretaria de Segurança Pública - PE
PALMARES,Estupro,4,Secretaria de Segurança Pública - PE
RIACHO DAS ALMAS,Estupro,4,Secretaria de Segurança Pública - PE
SANTA MARIA DA BOA VISTA,Estupro,4,Secretaria de Segurança Pública - PE
TAQUARITINGA DO NORTE,Estupro,4,Secretaria de Segurança Pública - PE
TORITAMA,Estupro,4,Secretaria de Segurança Pública - PE
ALAGOINHA,Estupro,3,Secretaria de Segurança Pública - PE
ARACOIABA,Estupro,3,Secretaria de Segurança Pública - PE
ARCOVERDE,Estupro,3,Secretaria de Segurança Pública - PE
BEZERROS,Estupro,3,Secretaria de Segurança Pública - PE
BOM JARDIM,Estupro,3,Secretaria de Segurança Pública - PE
CONDADO,Estupro,3,Secretaria de Segurança Pública - PE
CUPIRA,Estupro,3,Secretaria de Segurança Pública - PE
IPUBI,Estupro,3,Secretaria de Segurança Pública - PE
ITAIBA,Estupro,3,Secretaria de Segurança Pública - PE
ITAMARACA,Estupro,3,Secretaria de Segurança Pública - PE
ITAPETIM,Estupro,3,Secretaria de Segurança Pública - PE
